iter	Passed	Remaining
0	58	58593
1	59	29454
2	59	19780
3	60	14968
4	60	12074
5	61	10129
6	61	8727
7	61	7671
8	62	6844
9	62	6193
10	62	5653
11	63	5210
12	63	4832
13	63	4502
14	64	4227
15	64	3975
16	64	3756
17	65	3558
18	65	3383
19	65	3227
20	66	3088
21	66	2961
22	67	2847
23	67	2744
24	67	2647
25	68	2557
26	68	2476
27	69	2396
28	69	2325
29	70	2266
30	70	2206
31	71	2147
32	71	2092
33	71	2037
34	71	1984
35	72	1935
36	72	1890
37	73	1850
38	73	1809
39	73	1771
40	74	1734
41	74	1700
42	74	1666
43	75	1633
44	75	1601
45	75	1573
46	76	1546
47	76	1517
48	76	1492
49	77	1466
50	77	1443
51	78	1423
52	78	1402
53	78	1380
54	79	1359
55	79	1338
56	79	1320
57	80	1303
58	80	1285
59	80	1268
60	81	1251
61	81	1234
62	81	1218
63	82	1202
64	82	1187
65	82	1173
66	83	1160
67	83	1146
68	84	1134
69	84	1122
70	84	1112
71	85	1100
72	85	1091
73	86	1080
74	86	1070
75	87	1059
76	87	1051
77	88	1043
78	88	1035
79	89	1025
80	89	1016
81	89	1006
82	90	995
83	90	987
84	90	978
85	91	970
86	91	962
87	92	953
88	92	946
89	92	938
90	93	932
91	93	926
92	94	918
93	94	910
94	94	903
95	95	898
96	95	893
97	96	885
98	96	877
99	96	870
100	97	864
101	97	857
102	97	853
103	98	846
104	98	842
105	99	835
106	99	830
107	99	825
108	100	820
109	100	814
110	101	810
111	101	805
112	102	800
113	102	796
114	102	791
115	103	786
116	103	780
117	103	775
118	104	771
119	104	768
120	105	763
121	105	758
122	105	753
123	106	748
124	106	744
125	106	740
126	107	735
127	107	731
128	107	728
129	108	726
130	108	722
131	109	718
132	109	715
133	110	712
134	110	708
135	110	704
136	111	701
137	111	697
138	111	693
139	112	691
140	113	688
141	113	685
142	113	682
143	114	679
144	114	676
145	115	673
146	115	669
147	115	667
148	116	664
149	116	662
150	117	659
151	117	656
152	118	653
153	118	650
154	118	647
155	119	644
156	119	641
157	119	638
158	120	636
159	120	634
160	120	630
161	121	628
162	121	625
163	122	623
164	122	620
165	123	618
166	123	615
167	123	612
168	124	609
169	124	607
170	124	605
171	125	603
172	125	600
173	126	598
174	126	597
175	127	595
176	127	592
177	127	590
178	128	588
179	128	586
180	129	584
181	129	582
182	129	580
183	130	578
184	130	576
